Storey,Pattern,Load
1,distributed,18.140625
1,point internal,0.0
1,point external,0.0
1,pdelta,0.0
1,mass,199.71330275229357
1,q,8.0625
2,distributed,18.140625
2,point internal,0.0
2,point external,0.0
2,pdelta,0.0
2,mass,199.71330275229357
2,q,8.0625
3,distributed,18.140625
3,point internal,0.0
3,point external,0.0
3,pdelta,0.0
3,mass,199.71330275229357
3,q,8.0625
4,distributed,18.140625
4,point internal,0.0
4,point external,0.0
4,pdelta,0.0
4,mass,199.71330275229357
4,q,8.0625
5,distributed,18.140625
5,point internal,0.0
5,point external,0.0
5,pdelta,0.0
5,mass,199.71330275229357
5,q,8.0625
6,distributed,14.765625
6,point internal,0.0
6,point external,0.0
6,pdelta,0.0
6,mass,162.55733944954127
6,q,6.5625
